"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 17, 2020","25,387.5","25,186.5","25,572.5","25,149.5","-","1.25%"
"Aug 14, 2020","25,074.0","25,130.0","25,358.0","25,029.0","113.03K","-0.21%"
"Aug 13, 2020","25,128.0","25,254.0","25,459.0","25,094.0","130.06K","-0.42%"
"Aug 12, 2020","25,235.0","24,900.0","25,300.0","24,653.0","155.77K","1.37%"
"Aug 11, 2020","24,895.0","24,422.0","25,030.0","24,348.0","153.38K","2.00%"
"Aug 10, 2020","24,406.0","24,380.0","24,506.0","24,201.0","141.58K","0.06%"
"Aug 07, 2020","24,391.0","24,823.0","24,925.0","24,150.0","181.26K","-1.71%"
"Aug 06, 2020","24,816.0","25,063.0","25,232.0","24,591.0","175.71K","-0.94%"
"Aug 05, 2020","25,052.0","24,954.0","25,168.0","24,800.0","135.90K","0.47%"
"Aug 04, 2020","24,936.0","24,365.0","25,068.0","24,333.0","172.63K","2.25%"
"Aug 03, 2020","24,387.0","24,566.0","24,609.0","24,185.0","162.27K","-0.70%"
"Jul 31, 2020","24,559.0","24,616.0","24,928.0","24,372.0","170.10K","-1.63%"
"Jul 30, 2020","24,967.0","24,829.0","25,144.0","24,829.0","21.78K","0.35%"
"Jul 29, 2020","24,879.0","24,763.0","24,908.0","24,655.0","132.35K","0.50%"
"Jul 28, 2020","24,755.0","24,629.0","24,987.0","24,629.0","179.34K","0.50%"
"Jul 27, 2020","24,631.0","24,710.0","24,972.0","24,539.0","208.32K","-0.22%"
"Jul 24, 2020","24,685.0","25,205.0","25,237.0","24,573.0","204.12K","-2.16%"
"Jul 23, 2020","25,230.0","25,036.0","25,325.0","24,963.0","174.44K","0.49%"
"Jul 22, 2020","25,106.0","25,628.0","25,788.0","24,991.0","176.88K","-1.96%"
"Jul 21, 2020","25,609.0","25,055.0","25,636.0","25,055.0","152.16K","2.37%"
"Jul 20, 2020","25,017.0","25,170.0","25,274.0","24,721.0","172.16K","-0.56%"
"Jul 17, 2020","25,157.0","24,900.0","25,257.0","24,844.0","155.21K","0.95%"
